subject,block,accuracy,macro_f1,macro_precision,macro_sensitivity,macro_specificity,dimensions
Data_Sample06,Spectral_Dynamic,0.18,0.17104685296904976,0.1655982905982906,0.18000000000000002,0.7949999999999999,216
Data_Sample06,Dynamic,0.16,0.15427351339809975,0.15629072681704262,0.16,0.79,72
Data_Sample06,Spectral_Dynamic_Graph,0.3,0.3065535214848716,0.328998778998779,0.3,0.825,288
Data_Sample06,Graph,0.22,0.22318854176439315,0.2329365079365079,0.22000000000000003,0.805,72
Data_Sample07,Full_MDRG,0.26,0.24387979170587865,0.23275058275058275,0.26,0.8149999999999998,1656
Data_Sample07,Riemannian_Graph,0.24,0.2306878306878307,0.2334224598930481,0.24,0.8099999999999999,1440
Data_Sample07,Spectral_Dynamic_Riemannian,0.24,0.23728559709983857,0.24273809523809523,0.24,0.8099999999999999,1584
Data_Sample07,Riemannian,0.26,0.2525132275132275,0.2599376114081996,0.26,0.8150000000000001,1368
Data_Sample07,Static_Spectral,0.34,0.33747246905141637,0.33787878787878783,0.34,0.835,144
Data_Sample07,Spectral_Dynamic,0.28,0.2764156768733428,0.2771950271950272,0.28,0.8200000000000001,216
Data_Sample07,Dynamic,0.14,0.14533333333333334,0.16666666666666666,0.13999999999999999,0.7849999999999999,72
Data_Sample07,Spectral_Dynamic_Graph,0.28,0.2815385009839176,0.2885492285492285,0.28,0.82,288
Data_Sample07,Graph,0.24,0.23759468422276336,0.242979242979243,0.24,0.8100000000000002,72
Data_Sample08,Full_MDRG,0.3,0.30656664285147256,0.3248809523809524,0.3,0.825,1656
Data_Sample08,Riemannian_Graph,0.32,0.31981138617294225,0.3269230769230769,0.32,0.8299999999999998,1440
Data_Sample08,Spectral_Dynamic_Riemannian,0.32,0.3226817042606516,0.33225108225108224,0.32,0.8300000000000001,1584
Data_Sample08,Riemannian,0.36,0.3597657244716069,0.3682900432900433,0.36000000000000004,0.8400000000000001,1368
Data_Sample08,Static_Spectral,0.24,0.2397623772855971,0.24908730158730155,0.24,0.8099999999999999,144
Data_Sample08,Spectral_Dynamic,0.22,0.2152432362958679,0.21830808080808078,0.22000000000000003,0.8049999999999999,216
Data_Sample08,Dynamic,0.22,0.219023199023199,0.22954545454545455,0.22000000000000003,0.805,72
Data_Sample08,Spectral_Dynamic_Graph,0.12,0.11104209799861972,0.10531968031968031,0.12000000000000002,0.7799999999999999,288
Data_Sample08,Graph,0.14,0.13689787904621661,0.13767399267399266,0.14,0.7849999999999999,72
Data_Sample09,Full_MDRG,0.26,0.24501831501831503,0.24553030303030304,0.26,0.8150000000000001,1656
Data_Sample09,Riemannian_Graph,0.26,0.2536507936507936,0.2535064935064935,0.26,0.8150000000000001,1440
Data_Sample09,Spectral_Dynamic_Riemannian,0.3,0.2889090909090909,0.29,0.3,0.825,1584
Data_Sample09,Riemannian,0.28,0.27057387057387056,0.27386363636363636,0.27999999999999997,0.82,1368
Data_Sample09,Static_Spectral,0.32,0.31852160044379724,0.32393162393162395,0.32,0.8299999999999998,144
Data_Sample09,Spectral_Dynamic,0.32,0.317012987012987,0.32242424242424245,0.31999999999999995,0.8300000000000001,216
Data_Sample09,Dynamic,0.28,0.2778542510121458,0.29,0.28,0.82,72
Data_Sample09,Spectral_Dynamic_Graph,0.26,0.26090569561157795,0.2699350649350649,0.26,0.8150000000000001,288
Data_Sample09,Graph,0.2,0.18871345029239767,0.1830952380952381,0.2,0.8,72
Data_Sample10,Full_MDRG,0.22,0.21463010324902906,0.2302090066795949,0.21999999999999997,0.8049999999999999,1656
Data_Sample10,Riemannian_Graph,0.22,0.2268684285308326,0.24395604395604392,0.22000000000000003,0.8049999999999999,1440
Data_Sample10,Spectral_Dynamic_Riemannian,0.18,0.18555183946488293,0.21076923076923076,0.18,0.7950000000000002,1584
Data_Sample10,Riemannian,0.24,0.24517391304347824,0.27282051282051284,0.24000000000000005,0.8099999999999999,1368
Data_Sample10,Static_Spectral,0.24,0.23183660130718953,0.23857142857142857,0.24000000000000005,0.8099999999999999,144
Data_Sample10,Spectral_Dynamic,0.14,0.10994152046783626,0.09281045751633986,0.14,0.7849999999999999,216
Data_Sample10,Dynamic,0.14,0.1383333333333333,0.15191919191919195,0.14,0.7849999999999999,72
Data_Sample10,Spectral_Dynamic_Graph,0.24,0.23266139657444002,0.2445787545787546,0.24,0.8099999999999999,288
Data_Sample10,Graph,0.22,0.22368906455862975,0.25234432234432236,0.22000000000000003,0.805,72
Data_Sample11,Full_MDRG,0.32,0.3122823083349399,0.3198232323232323,0.32,0.8300000000000001,1656
Data_Sample11,Riemannian_Graph,0.28,0.2579782790309106,0.2513963161021985,0.27999999999999997,0.82,1440
Data_Sample11,Spectral_Dynamic_Riemannian,0.3,0.27541931752458065,0.260479797979798,0.3,0.825,1584
Data_Sample11,Riemannian,0.28,0.25586187691450846,0.24417706476530004,0.27999999999999997,0.82,1368
Data_Sample11,Static_Spectral,0.2,0.18989321128909228,0.18623321123321124,0.19999999999999998,0.8,144
Data_Sample11,Spectral_Dynamic,0.18,0.16988267770876467,0.16290209790209792,0.18,0.7950000000000002,216
Data_Sample11,Dynamic,0.16,0.14893029675638372,0.14108391608391607,0.16,0.79,72
Data_Sample11,Spectral_Dynamic_Graph,0.2,0.1883107769423559,0.18262626262626264,0.2,0.8,288
Data_Sample11,Graph,0.26,0.2590567327409432,0.26010101010101006,0.26,0.8150000000000001,72
Data_Sample12,Full_MDRG,0.24,0.23617224880382776,0.23444444444444446,0.24000000000000005,0.8099999999999999,1656
Data_Sample12,Riemannian_Graph,0.26,0.24310526315789477,0.23777777777777778,0.26,0.8150000000000001,1440
